song_id,fullname,genre,artist,composed_by,singer,feat_by,arranged_by,visualized_by
129,XLASHER,Slash Core,Hosoe Shinji,Hosoe Shinji,Mr.Yoshida,,Hosoe Shinji,"Sara, Dumping Life"
130,Say It From Your Heart,Classic Handbag,makou,makou,,Yoshihiro Tsukahara (on Guitar),makou,"GrooveBear, Z_B"
131,Bamboo on Bamboo,Gabba,Sampling Masters MEGA,Sampling Masters MEGA,,,Sampling Masters MEGA,wony
132,Fallin' in Luv,Luv Pop,3rd Coast,3rd Coast,So Fly,JC (on Rap),3rd Coast,"Tari, jo jeong joo"
133,Colours of Sorrow,Colours POP,Tsukasa,Tsukasa,Esprit Lee,,Tsukasa,"Shin Min Kyung, CARROTJUICE"
134,Area 7,Trance,Sphazer,Sphazer,,,Sphazer,KIMYS
135,Out of CTRL,Drum & Bass,Mr.Funky,Mr.Funky,Yohan,,Mr.Funky,"Zaktan, Out"
136,RockSTAR,Electro House,Mr.Funky,Mr.Funky,Mr.Funky,Michael Blunck(on Rap),Mr.Funky,aj
137,Dark Prism,Melodic Trance,Tsukasa,Tsukasa,,,Tsukasa,"SAGWANAMU, Ruki"
138,Right Back,UK Hardcore,TANUKI,TANUKI,,Royalty Free Samples ,TANUKI,Amitasia
139,Grave Consequence,DNB Trance,Tsukasa,Tsukasa,,,Tsukasa,"Khang-Keun, Latte"
140,Beat U Down,Euro Beat,makou,makou,,,makou,"KIMYS, Z_B"
141,BEE-U-TIFUL,Drum'n Bass,FIRST AID,FIRST AID,,,FIRST AID,D
142,Sweet Dream,House Dance,Lin-G,Lin-G,Jay,,Lin-G & Mr. love&pop,"BF, Jin"
143,Showdown,Brass Funk,LeeZu,LeeZu,,,LeeZu,"Gaeberman, DumpingLIFE"
144,AD2222,Junkno,CROOVE,CROOVE,,,CROOVE,KIMYS
145,Over the Rainbow,Ani Pop,Tsukasa,Tsukasa,Aki Misawa,,Tsukasa,"Mino, Jin"
146,Fly Away,Trance,XeoN,XeoN,,,XeoN,SB_ENGINEER
147,Wanna Be Your Lover,Euro Dance,Laurent Newfield & Ravenant,Ravenant,Alex Ray,,Laurent Newfield & Ravenant,"Zaquard, Shin105"
148,SuperNova,Rave,Cranky,Cranky,,,Cranky,"Ottol, ENTIA J"
149,The Rain Maker,Epic Trance,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,moses
150,IF,Rock,Vanilla Unity,Vanilla Unity,이승주,,Vanilla Unity,"Jisun, moses"
151,Melody,Cute POP,bermei.inazawa/UC,bermei.inazawa/UC,Esprit Lee,,bermei.inazawa/UC,"BF, Jin"
152,The Last Dance,India Hip-Hop,Urbatronic Chopsticks,Urbatronic Chopsticks,Esprit Lee,JJK (on Rap),Urbatronic Chopsticks,"SARA, HooN"
153,Secret World,Teenpop,Sweetune,Sweetune,Miya,,Sweetune,"Mirk, Jin"
154,Lovely Hands,Space Pop,Planetboom,Planetboom,Miya,,Planetboom,"SARA, Jin"
155,Ready Now,Euro Dance,Ruby Tuesday,Ruby Tuesday,LEAH,,Ruby Tuesday,"Kopye,79c"
156,Voyage,Broken Beat,makou,makou,Lin,,makou,"SAGWANAMU, CARROTJUICE"
157,Shoreline,Balearic House,Oriental ST8,Oriental ST8,,,Oriental ST8,"REWHY, Waveun"
158,In My Dream,Mental Metal,NDLee,NDLee,,,NDLee,"Weltol, Latte"
159,glory day,J-Rock,BEXTER x Mycin.T,BEXTER x Mycin.T,DyoN Joo,,Mycin.T,"SHIHYUN, DumpingLIFE, BJLee"
160,glory day (Japanese Version),J-Rock,BEXTER x Mycin.T,BEXTER x Mycin.T,DyoN Joo,,Mycin.T,"SHIHYUN, DumpingLIFE, BJLee"
161,Over Your Dream,Pop Rock,xxdbxx,xxdbxx,Sin So Hee,,xxdbxx,MUCA with Fans
162,Mind Control,Modern hard Rock,NieN,NieN,NieN & Yayoo(Band 'Guyz'),,NieN,BraveNine
163,The One,Happy 2step,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,Dookong
164,Break!,Synth Pop Rock,Mr.Funky,Mr.Funky,Garden(RubyStar),,Mr.Funky,"JUNA,ENTIA J"
165,A.I,Techno,Forte Escape,Forte Escape,,,Forte Escape,KIMYS
166,Nova (Mr.Funky Remix),Nu Skool Breakz,Mr.Funky,BEXTER,Michael Blunck,Planetboom(on Guitar),Mr.Funky,"SAREE, D"
167,Zet (Mr.Funky Remix) ,Indie Dance,Mr.Funky,BEXTER,Bloom,Planetboom(on Guitar),Mr.Funky,KIMYS
168,Masai (Electro House Mix),Electro House,Paul Bazooka,CROOVE,So Fly,JC(on Rap),Paul Bazooka,Eco
169,Enemy Storm (Dark Jungle Mix),Dark Jungle,Paul Bazooka,CROOVE,,JC(on Rap),Paul Bazooka,"NOVA, Super52"
170,NB Ranger - Virgin Force,Hard Rock,NieN,NieN,Ace(of Paran),,NieN,DumpingLIFE
171,NB POWER,AniRock,NieN,NieN,NieN,,NieN,Eco
172,Hamsin,Trance,makou,makou,,,makou,Ache
173,OBLIVION (Rockin' Night Style),Rock,NieN,ESTi,,,NieN,"D-myo, NG, TARI, ECO, ENTIA J"
174,레모네이드,Lounge DnB,M2U,M2U,Tari,,M2U,"TARI, ETER"
175,Silent Clarity,Art CORE,Tsukasa,Tsukasa,Aki Misawa,,Tsukasa,"Dumping Life, ENTIA J"
176,NANO RISK,NANO DnB,Dayz,Dayz,Tornado,,Dayz,"KIMYS, ECO"
177,Rolling On the Duck,Core & Metal,NieN,NieN,NieN,,NieN,JAY
178,Don't Die,Drum'n Bass,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,"S.in, RK"
179,Remains Of Doom,Industrial Rock,NieN,NieN,NieN,,NieN,Gunzo
180,CLOSER,Pure House,3rd Coast,3rd Coast,So Fly,JC(on Rap),3rd Coast,Giggsan
181,A Life With You,Broken Beat,makou,makou,Fumi,,makou,"Mandrill, Hoon"
182,Nevermind,Epic Trance,Paul Bazooka,Paul Bazooka,,,Paul Bazooka,Gunzo
183,Binary World,Melodic Trance,Tsukasa,Tsukasa,Aki misawa,,Tsukasa,"Racoona, DumpingLIFE"
184,JBG,Yellow Hiphop,CROOVE,CROOVE,,JC(on Rap),CROOVE,Eyehead
185,GET OUT,RnB Hip Hop,NDLee,NDLee,Gypsi Road & Jimmy Len,,NDLee,Gunzo
186,Can We Talk,Acid jazz,Forte Escape,Forte Escape,Pyk,,Forte Escape,Aqualix
187,Never Ending TECHNIKA,Electro Funk,Studio LAY-BACK,Studio LAY-BACK,Studio LAY-BACK,,Studio LAY-BACK,SB_ENGINEER
188,Child of Night,Electro House,GOTH,GOTH,,,GOTH,Gunzo
189,KILLER BEE,Trap Hop,GOTH,GOTH,,Muchi(on Rap),GOTH,"zaktan, JOJ"
190,Shadow Flower,Pop,ned,ned,Moa,,ned,"Tari, ENTIA J"
191,U.A.D,Future House,HAYAKO,HAYAKO,,,HAYAKO,AJ
