song_id,item_id,name,full_name,genre,artist_name,original_bga_yn,loop_bga_yn,composed_by,singer,feat_by,arranged_by,visualized_by,cost_game_point,cost_game_cash,flag,status,free_yn,hidden_yn,open_yn,track_id,mod_date,update
125,125,chemical,Chemical Slave,Euro Dance,XeoN,Y,N,XeoN,,,,Amitasia,0,0,0,,Y,N,Y,310,2.02E+13,0
126,126,putemup,Put'Em Up,Reggaeton-Like,makou,Y,N,makou,,,,Dumping Life,0,0,0,,Y,N,Y,296,2.02E+13,0
127,127,cypher,Cypher Gate,Hi-Break Core,7 Sequence,Y,N,7 Sequence,,,,KIMYS,0,0,0,,Y,N,Y,240,2.02E+13,0
128,128,luvflowrmx1,Luv Flow (Funky House Mix),Funky House,Paul Bazooka,Y,N,3rd Coast,So Fly,JC(on Rap),Paul Bazooka,Moses,0,0,0,,Y,N,Y,301,2.02E+13,0
129,129,xlasher,XLASHER,Slash Core,Hosoe Shinji,Y,N,Hosoe Shinji,Mr.Yoshida,,Hosoe Shinji,"Sara, Dumping Life",0,0,0,,Y,N,Y,59,2.02E+13,0
130,130,sayitfrom,Say It From Your Heart,Classic Handbag,makou,Y,N,makou,,Yoshihiro Tsukahara (on Guitar),makou,"GrooveBear , Z_B",0,0,0,,Y,N,Y,294,2.02E+13,0
131,131,bamboo,Bamboo on Bamboo,Gabba,Sampling Masters MEGA,Y,N,Sampling Masters MEGA,,,Sampling Masters MEGA,wony,0,0,0,,Y,N,Y,325,2.02E+13,0
132,132,falling,Fallin' in Luv,Luv Pop,3rd Coast,Y,N,3rd Coast,So Fly,JC (on Rap),3rd Coast,"Tari, jo jeong joo",0,0,0,,Y,N,Y,311,2.02E+13,0
133,133,coloursof,Colours of Sorrow,Colours POP,Tsukasa,Y,N,Tsukasa,Esprit Lee,,Tsukasa,"Shin Min Kyung, CARROTJUICE",0,0,0,,Y,N,Y,260,2.02E+13,0
134,134,area7,Area 7,Trance,Sphazer,Y,N,Sphazer,,,Sphazer,KIMYS,0,0,0,,Y,N,Y,209,2.02E+13,0
135,135,outofcont,Out of CTRL,Drum & Bass,Mr.Funky,Y,N,Mr.Funky,Yohan,,Mr.Funky,"Zaktan, Out",0,0,0,,Y,N,Y,318,2.02E+13,0
136,136,rockstar,RockSTAR,Electro House,Mr.Funky,Y,N,Mr.Funky,Mr.Funky,Michael Blunck(on Rap),Mr.Funky,aj,0,0,0,,Y,N,Y,115,2.02E+13,0
137,137,darkprism,Dark Prism,Melodic Trance,Tsukasa,Y,N,Tsukasa,,,Tsukasa,"SAGWANAMU, Ruki",0,0,0,,Y,N,Y,320,2.02E+13,0
138,138,rightback,Right Back,UK Hardcore,TANUKI,Y,N,TANUKI,,Royalty Free Samples ,TANUKI,Amitasia,0,0,0,,Y,N,Y,315,2.02E+13,0
